
//数据搜集来源网络，仅供测试学习使用，不能用于商用，禁止贩卖。
🇨🇳┃红歌,#genre#
【经典老歌】60/70/80美好的回忆,https://vdse.bdstatic.com//d80684e617a55ed951bbfdb5e54190d2.mp4
5首经典红歌大联唱串烧,https://vdse.bdstatic.com//d80684e617a55ed951bbfdb5e54190d2.mp4
8首《经典红歌》60年代的老歌串烧,https://vdse.bdstatic.com//5717710b5203f3437bd7c69deae5c2d5.mp4
8首【经典红歌】连唱红色歌曲永流传HD,https://vdse.bdstatic.com//952f85a13aeb535257ba857a8a2da2ea.mp4
10首【红色歌曲】大联唱HD,https://vdse.bdstatic.com//875ab3a1d4b28a73183de67a7926b597.mp4
60年代红歌【红太阳歌曲】大联唱FHD,https://vdse.bdstatic.com//37ecb707b0306ac98dfa36a0e5b36c17.mp4
红歌大联唱60年代的经典老歌FHD,https://vdse.bdstatic.com//86ca1ba01f910fc16a91889473bcb7a1.mp4
经典红歌,https://vdse.bdstatic.com//952f85a13aeb535257ba857a8a2da2ea.mp4
经典红歌《红太阳革命老歌大联唱》FHD,https://vdse.bdstatic.com//6ecd63cdecd01500b47a3e523e9fbd1b.mp4
原声原味【经典红歌联唱】60年代革命老歌串烧HD,https://vdse.bdstatic.com//04253bc9438f6369f1c8704ce2bf4bfd.mp4
原声原味10首【经典红歌】大联唱HD,https://vdse.bdstatic.com//37f98cb7826b6866ec147e8cc75b0f7b.mp4
原味10首【红太阳歌曲】经典红歌大联唱串烧FHD,https://vdse.bdstatic.com//37ecb707b0306ac98dfa36a0e5b36c17.mp4
㊙️秘籍┃分享,#genre#

✅花生日记,https://gitee.com/huasjf/tvbox/raw/main/1701581564629.mp4
✅花生日记,.,https://gitee.com/huasjf/tvbox/raw/main/1701581564629.mp4

✅购物省钱秘籍,https://gitee.com/huasjf/tvbox/raw/main/Hgfgx813lx08aGPrACqA01041200gkOk0E018.mp4
✅购物省钱秘籍🍁,https://gitee.com/huasjf/tvbox/raw/main/Hgfgx813lx08aGPrACqA01041200gkOk0E018.mp4
✅推荐软件,https://gitee.com/huasjf/tvbox/raw/main/9DN62xOXlx08aHghfE7S0104120063TA0E018.mp4
推荐软件🍁,https://gitee.com/huasjf/tvbox/raw/main/9DN62xOXlx08aHghfE7S0104120063TA0E018.mp4
✅领券方法,https://gitee.com/huasjf/tvbox/raw/main/mmexport1701581732393.mp4
领券方法🍁,https://gitee.com/huasjf/tvbox/raw/main/mmexport1701581732393.mp4

♨️自己换播放器,#genre#
推荐软件,https://gitee.com/huasjf/tvbox/raw/main/9DN62xOXlx08aHghfE7S0104120063TA0E018.mp4

▶️┃央红,#genre#

CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
